hkp: 0.2         f
hkd: 0
------------DATA COLLECTION------------

Desired Heading |       Actual Heading  |       Time (ms)
45              |       34              |       400
45              |       34              |       800
45              |       34              |       1200
45              |       34              |       1600
45              |       36              |       2000
45              |       53              |       2400
45              |       79              |       2800
45              |       93              |       3200
45              |       119             |       3600
45              |       124             |       4000
45              |       121             |       4400
45              |       115             |       4800
45              |       96              |       5200
45              |       86              |       5600
45              |       69      |       6000
45              |       55              |       6400
45              |       49              |       6800
45              |       46              |       7200
45              |       46              |       7600
45              |       46              |       8000
45              |       46              |       8400
45              |       46              |       8800
45              |       36              |       9200
45              |       14              |       9600
45              |       0               |       10000
45              |       355             |       10400
45              |       357‰            |       11200
45              |       13              |       11600
45              |       24              |       12000
45              |       42              |       12400
45              |       52              |       12800
45              |       62              |       13200
45              |       64              |       13600
45              |       64              |       14000
45              |       64              |       14400
45              |       64              |       14800
45              |       65              |       15200
45              |       75              |       15600
45              |       79              |       16000
45              |       79              |       16400
45              |       78              |       16800
45              |       77              |       17200
45              |       77              |       17600
45              |       77              |       18000
45              |       77              |       18400
45              |       77              |       18800
45              |       77              |       19200
45              |       77              |       19600
45              |       77              |       20000
45              |       77              |       20400
45              |       77              |       20800
45              |       76              |       21200
